tipo,valor,parceiro,data
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-05 13:00:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-06 12:00:00
Prémio Extra Diário,10,Poke House,2023-07-06 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-06 13:00:00
Prémio Diário,20,–,2023-07-06 13:00:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-07 12:00:00
Prémio Extra Diário,10,Poke House,2023-07-07 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-07 13:00:00
Prémio Diário,20,–,2023-07-07 14:24:00
Prémio Extra Diário,30,FlixBus,2023-07-07 18:00:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-08 12:00:00
Prémio Extra Diário,10,Poke House,2023-07-08 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-08 13:00:00
Prémio Diário,20,–,2023-07-08 15:48:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-09 12:00:00
Prémio Extra Diário,10,Poke House,2023-07-09 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-09 13:00:00
Prémio Diário,20,–,2023-07-09 16:12:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-10 12:00:00
Prémio Extra Diário,10,Poke House,2023-07-10 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-10 13:00:00
Prémio Diário,20,–,2023-07-10 17:36:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-11 12:00:00
Prémio Extra Diário,10,Poke House,2023-07-11 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-11 13:00:00
Prémio Semanal,100,–,2023-07-11 13:45:00
Prémio Diário,20,–,2023-07-11 18:00:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-12 12:00:00
Prémio Extra Diário,10,Poke House,2023-07-12 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-12 13:00:00
Prémio Diário,20,–,2023-07-12 19:24:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-13 12:00:00
Prémio Extra Diário,10,Poke House,2023-07-13 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-13 13:00:00
Prémio Diário,20,–,2023-07-13 20:48:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-14 12:00:00
Prémio Extra Diário,10,Poke House,2023-07-14 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-14 13:00:00
Prémio Extra Diário,30,FlixBus,2023-07-14 18:00:00
Prémio Diário,20,–,2023-07-14 21:12:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-15 12:00:00
Prémio Extra Diário,10,Poke House,2023-07-15 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-15 13:00:00
Prémio Diário,20,–,2023-07-15 22:36:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-16 12:00:00
Prémio Extra Diário,10,Poke House,2023-07-16 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-16 13:00:00
Prémio Diário,20,–,2023-07-16 23:00:00
Prémio Diário,20,–,2023-07-17 07:24:00
Prémio Extra Diário,10,Poke House,2023-07-17 12:45:00
Prémio Diário,20,–,2023-07-18 08:48:00
Prémio Extra Diário,10,Poke House,2023-07-18 12:45:00
Prémio Diário,20,–,2023-07-19 09:12:00
Prémio Extra Diário,10,Poke House,2023-07-19 12:45:00
Prémio Semanal,100,–,2023-07-19 15:15:00
Prémio Diário,20,–,2023-07-20 10:36:00
Prémio Extra Diário,10,Poke House,2023-07-20 12:45:00
Prémio Diário,20,–,2023-07-21 11:00:00
Prémio Extra Diário,30,FlixBus,2023-07-21 18:00:00
Prémio Diário,20,–,2023-07-22 12:24:00
Prémio Diário Extra,15,FPF,2023-07-22 19:00:00
Prémio Diário,20,–,2023-07-23 13:48:00
Prémio Diário Extra,15,FPF,2023-07-23 19:00:00
Prémio Diário,20,–,2023-07-24 14:12:00
Prémio Diário Extra,15,FPF,2023-07-24 19:00:00
Prémio Diário,20,–,2023-07-25 15:36:00
Prémio Diário Extra,15,FPF,2023-07-25 19:00:00
Prémio Diário,20,–,2023-07-26 16:00:00
Prémio Diário Extra,15,FPF,2023-07-26 19:00:00
Prémio Diário,20,–,2023-07-27 17:24:00
Prémio Semanal,100,–,2023-07-27 17:45:00
Prémio Diário Extra,15,FPF,2023-07-27 19:00:00
Prémio Extra Diário,30,FlixBus,2023-07-28 18:00:00
Prémio Diário,20,–,2023-07-28 18:48:00
Prémio Diário Extra,15,FPF,2023-07-28 19:00:00
Prémio Mensal,200,–,2023-07-29 18:00:00
Prémio Diário Extra,15,FPF,2023-07-29 19:00:00
Prémio Diário,20,–,2023-07-29 19:12:00
Prémio Diário Extra,15,FPF,2023-07-30 19:00:00
Prémio Diário,20,–,2023-07-30 20:36:00
Prémio Diário Extra,15,FPF,2023-07-31 19:00:00
Prémio Diário,20,–,2023-07-31 21:00:00
Prémio Diário Extra,15,FPF,2023-08-01 19:00:00
Prémio Diário,20,–,2023-08-01 22:24:00
Prémio Diário Extra,15,FPF,2023-08-02 19:00:00
Prémio Diário,20,–,2023-08-02 23:48:00
Prémio Diário,20,–,2023-08-03 07:12:00
Prémio Diário Extra,15,FPF,2023-08-03 19:00:00
Prémio Diário,20,–,2023-08-04 08:36:00
Prémio Extra Diário,30,FlixBus,2023-08-04 18:00:00
Prémio Diário Extra,15,FPF,2023-08-04 19:00:00
Prémio Semanal,100,–,2023-08-04 19:15:00
Prémio Diário,20,–,2023-08-05 09:00:00
Prémio Diário Extra,15,FPF,2023-08-05 19:00:00
Prémio Diário,20,–,2023-08-06 10:24:00
Prémio Diário Extra,15,FPF,2023-08-06 19:00:00
Prémio Diário,20,–,2023-08-07 11:48:00
Prémio Diário Extra,15,FPF,2023-08-07 19:00:00
Prémio Diário,20,–,2023-08-08 12:12:00
Prémio Diário Extra,15,FPF,2023-08-08 19:00:00
Prémio Diário,20,–,2023-08-09 13:36:00
Prémio Diário Extra,15,FPF,2023-08-09 19:00:00
Prémio Diário,20,–,2023-08-10 14:00:00
Prémio Diário Extra,15,FPF,2023-08-10 19:00:00
Prémio Diário,20,–,2023-08-11 15:24:00
Prémio Extra Diário,30,FlixBus,2023-08-11 18:00:00
Prémio Diário Extra,15,FPF,2023-08-11 19:00:00
Prémio Diário,20,–,2023-08-12 16:48:00
Prémio Diário Extra,15,FPF,2023-08-12 19:00:00
Prémio Semanal,100,–,2023-08-12 21:45:00
Prémio Diário,20,–,2023-08-13 17:12:00
Prémio Diário Extra,15,FPF,2023-08-13 19:00:00
Prémio Diário,20,–,2023-08-14 18:36:00
Prémio Diário Extra,15,FPF,2023-08-14 19:00:00
Prémio Diário Extra,15,FPF,2023-08-15 19:00:00
Prémio Diário,20,–,2023-08-15 19:00:00
Prémio Diário Extra,15,FPF,2023-08-16 19:00:00
Prémio Diário,20,–,2023-08-16 20:24:00
Prémio Diário Extra,15,FPF,2023-08-17 19:00:00
Prémio Diário,20,–,2023-08-17 21:48:00
Prémio Extra Diário,30,FlixBus,2023-08-18 18:00:00
Prémio Diário Extra,15,FPF,2023-08-18 19:00:00
Prémio Diário,20,–,2023-08-18 22:12:00
Prémio Diário Extra,15,FPF,2023-08-19 19:00:00
Prémio Diário,20,–,2023-08-19 23:36:00
Prémio Diário,20,–,2023-08-20 07:00:00
Prémio Semanal,100,–,2023-08-20 09:15:00
Prémio Diário Extra,15,FPF,2023-08-20 19:00:00
Prémio Diário,20,–,2023-08-21 08:24:00
Prémio Semanal,100,–,2023-08-21 11:45:00
Prémio Diário,20,–,2023-08-22 09:48:00
Prémio Diário,20,–,2023-08-23 10:12:00
Prémio Diário,20,–,2023-08-24 11:36:00
Prémio Diário,20,–,2023-08-25 12:00:00
Prémio Extra Diário,30,FlixBus,2023-08-25 18:00:00
Prémio Diário,20,–,2023-08-26 13:24:00
Prémio Mensal,200,–,2023-08-26 19:00:00
Prémio Diário,20,–,2023-08-27 14:48:00
Prémio Diário,20,–,2023-08-28 15:12:00
Prémio Semanal,100,–,2023-08-29 13:15:00
Prémio Diário,20,–,2023-08-29 16:36:00
Prémio Diário,20,–,2023-08-30 17:00:00
Prémio Diário,20,–,2023-08-31 18:24:00
Prémio Diário,20,–,2023-09-01 19:48:00
